smiles,index
S=C(Nc1ccc(Cl)cc1)N1CCOCC1,0
CC(C)(C)c1ccc(-c2nc(NCCOCCOCCN)nc(NCC3CCCO3)n2)cc1,1
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=CCS[C@H]12)c1csc(NC(=O)[C@H](C)N)n1,2
Nc1nc(/C(=N/OC2(C(=O)O)CC2)C(=O)N[C@@H]2C(=O)N(S(=O)(=O)O)[C@H]2CF)cs1,3
CCNc1cc(C)nc(Nc2ccc3nc(-c4ccc(Cl)cc4)[nH]c3c2)n1,4
Cc1nc(-n2nc(C)c(CC(=O)Nc3ccccc3F)c2O)sc1C,5
O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,6
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,7
NCCCC(N)CC(=O)NC1C(NC2=N[C@@H]3C(=O)NC[C@@H](O)[C@H]3N2)OC(CO)C(OC(N)=O)C1O,8
CO[C@H]1CC[C@H](O[C@@H]2C[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)/C=C(\C)C(=O)[C@H](C)C[C@H](C)C(=O)O)O3)O[C@]2(C)[C@H]2CC[C@@H](C)[C@@]3(O[C@@H]([C@H]4O[C@@](O)(CO)[C@H](C)C[C@@H]4C)C[C@@H]3C)O2)O[C@@H]1C,9
Cc1nc(-c2ccc(C(C)(C)C)cc2)ncc1C(=O)N[C@@H](CCN)C(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)NCC#N)Cc2ccc(OCCN)c(c2)-c2cc1ccc2OCCN,10
CC(C)CC(CO)NC(=O)C(CCC(N)=O)NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)C(CC(C)C)NC(=O)C1CCCN1C(=O)C(C)(C)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(C)(C)NC(=O)C(NC(=O)C(C)(C)NC(=O)C(CCC(N)=O)NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)C(C)NC(=O)CNC(=O)C(C)(C)N)C(C)C,11
CCCC1OC(=O)C(C)CC(C)CCCCC(=O)CCCC(CC)C=C/C=C(/COC)CCC(O)C(O)CC(O)CNC1=O,12
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2Cl)OC1(C)C,13
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@@H](c4ccc([C@H](N)CC(N)=O)cc4)C3)[C@H](C)[C@H]12,14
C[C@H]1NCc2cc(-c3ccc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC(F)F)ccc21,15
C[C@H]1COc2c(N3CCN(C)CC3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,16
CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,17
COC1=C(C)C(=O)C2=C(C1=O)[C@H](CNC(=O)[C@H](C)N)N1[C@@H](O)[C@H]3[C@@H](OC)c4c(O)c(C)c(OC)c(O)c4[C@@H]([C@@H]1C2)N3C,18
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2)OC1(C)C,19
CC[C@H](C)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](N)Cc1ccccc1)C(=O)N[C@H]1CCCCNC1=O,20
CO[C@H]1CC[C@H](O[C@@H]2C[C@@H]([C@@H](C)/C=C(\C)C(=O)[C@H](C)C[C@H](C)C(=O)O)O[C@@]3(CC[C@@](C)([C@H]4CC[C@@H](C)[C@@]5(O[C@@H]([C@H]6O[C@@](O)(CO)[C@H](C)C[C@@H]6C)C[C@@H]5C)O4)O3)[C@@H]2C)O[C@@H]1C,21
CC(C)CCC[C@@H]1CC(=O)N[C@@H](CO)C(=O)N[C@H]([C@@H](O)C(N)=O)C(=O)N[C@@H](CO)C(=O)NCC(=O)N(C)[C@H](Cc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](CC(N)=O)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](CCCN)C(=O)N(C)[C@@H](C(C)C)C(=O)O1,22
CC(=O)NC[C@H]1CN(c2ccc(OCC3(OP(=O)(O)O)CCN(c4cc5c(cc4F)c(=O)c(C(=O)O)cn5C4CC4)CC3)c(F)c2)C(=O)O1,23
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CC#N)[C@H]2SC1,24
CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O)[C@@H](C)CC,25
C/C=C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C)C(C)C)c1ccccc1,26
CCn1cc(C(=O)O)c(=O)c2cc(F)c(-n3cccc3)cc21,27
CC(=O)NCC1CN(c2ccc(C(C)=O)cc2)C(=O)O1,28
CCC(C)CCCCC(=O)NC1C(=O)NC(CCN)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(Cc2cc3ccccc3[nH]2)C(=O)NC(C(C)CC)C(=O)NC(CCN)C(=O)NC(Cc2ccccc2)C(=O)OC1C,29
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,30
CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)CSc1ccc([N+](=O)[O-])cc1,31
